Geocode,business_id,name,address,city,state,postal_code,latitude,longitude,Score,Income
6037195100,PR0018770,SILVERLAKE WINE COMPANY,2395 N GLENDALE BLVD STE A,LOS ANGELES,CA,90039,34.09999666,-118.2593808,98,160081
6037463102,PR0018787,STARBUCKS COFFEE #5674,3007 E HUNTINGTON DR STE 101,PASADENA,CA,91107,34.12723685,-118.0907288,97,156504
6037910711,PR0018953,STARBUCKS,4631 E AVENUE S,PALMDALE,CA,93552,34.55820367,-118.0467782,98,67923
6037601211,PR0018969,EL NUEVO JALISCO POOL HALL,207 N LA BREA AVE ,INGLEWOOD,CA,90301,33.96473077,-118.3535917,95,45151
6037481712,PR0018973,CLUB 21,715 E GARVEY AVE,MONTEREY PARK,CA,91754,34.06282459,-118.1124817,95,73843
6037700901,PR0018977,STARBUCKS COFFEE CO.,9049 W OLYMPIC BLVD ,BEVERLY HILLS,CA,90211,34.05964806,-118.3894829,98,146013
6037111206,PR0018985,THE COFFEE BEAN & TEA LEAF,18705 DEVONSHIRE ST ,NORTHRIDGE,CA,91324,34.25744128,-118.5407803,95,136915
6037920339,PR0019014,SODA SPRINGS,26101 MAGIC MOUNTAIN PKWY,VALENCIA,CA,91355,34.4306095,-118.6034336,96,169014
6037480201,PR0019029,SHARKY'S,409 W LAS TUNAS DR ,SAN GABRIEL,CA,91776,34.10259221,-118.1045061,95,129534
6037700902,PR0019035,THE CAFE,225 N CANON DR ,BEVERLY HILLS,CA,90210,34.06401332,-118.3972371,95,115667
6037190100,PR0019040,STARBUCKS COFFEE #5402,7057 W SUNSET BLVD ,LOS ANGELES,CA,90028,34.0981311,-118.3434233,99,55986
6037920336,PR0019225,RESULTS FITNESS,24420 WALNUT ST ,NEWHALL,CA,91321,34.38029776,-118.5302616,97,56561
6037408800,PR0019267,POMONA FOX THEATER VIP BAR,114 W 3RD ST ,POMONA,CA,91766,34.05679536,-117.7502571,97,48215
6037702002,PR0019309,HOTEL CASA DEL MAR LOBBY,1910 OCEAN FRONT WALK ,SANTA MONICA,CA,90401,34.00633672,-118.4917846,95,117028
6037543306,PR0019452,STARBUCKS COFFEE #5928,20810 S AVALON BLVD STE #A,CARSON,CA,90746,33.84152631,-118.2626367,91,92625
6037920339,PR0019486,CROW'S NEST,26101 MAGIC MOUNTAIN PKWY,VALENCIA,CA,91355,34.4306095,-118.6034336,97,169014
6037481101,PR0019506,SAN GABRIEL SENIOR CENTER,324 S MISSION DR ,SAN GABRIEL,CA,91776,34.09829284,-118.1088877,98,67755
6037701902,PR0019510,BARNEY'S BEANERY - BAR,1351 3RD STREET PROMENADE,SANTA MONICA,CA,90401,34.01609453,-118.496089,97,121848
